,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity(%),Total_rainfall_snowmelt(mm),Avg_visibility,Avg_wind_speed,Max_sustained_wind_speed,PM2.5
174,22.3,30.3,16,56,0,6,1.3,3.5,260.1666666666667
175,20.2,27.2,14.7,66,0,6.9,0.9,3.5,277.7083333333333
176,20.4,28.9,14.5,65,0,6.8,1.3,3.5,284.1666666666667
177,20.6,28.9,14.9,61,0,6.9,3.1,3.5,288.4166666666667
178,20.8,27.3,15.6,70,0,6,3.5,5.4,166.91666666666666
179,19.9,27.3,14.9,68,0,6.3,3.3,5.4,169.0
180,20.6,27.4,16,65,0,6.3,3.9,7.6,186.04166666666666
181,20.1,27.5,14.9,67,0,6.9,4.3,5.4,108.08333333333333
182,20.3,26.4,16,70,0,6.3,3.1,3.5,284.79583333333335
183,20.1,26.4,16.6,70,0,5.5,2.8,3.5,219.72083333333333
184,21.2,28.4,15,67,0,6.9,2.4,5.4,182.1875
185,21.4,30.8,15,53,0,6.9,2.8,3.5,154.03750000000002
186,20.7,29.3,15.5,65,0,6.9,5.9,13,223.20833333333334
187,21,28,15.8,67,0,6.3,4.3,5.4,200.64583333333337
188,22,30.6,15.6,57,0,6.9,5,5.4,285.22499999999997
189,22.4,30.5,17,52,0,7.7,3.9,5.4,236.82499999999996
190,22.1,29.5,16.3,59,0,6.9,3.3,5.4,276.90833333333336
191,21.8,28.5,16.9,68,0,6.9,5,5.4,108.0
192,20.9,28.1,17,66,0,6.9,3.5,5.4,107.625
193,20.4,27.4,15.2,61,0,6.9,3.9,5.4,125.89166666666667
194,22,29.5,16.9,58,0,6.9,3.9,5.4,181.01250000000005
195,21.4,29.4,15.5,57,0,6.9,3.3,5.4,152.55416666666667
196,21,27.7,16.4,61,0,6.9,3.7,7.6,152.32083333333335
197,22,29.4,15.4,56,0,6.9,2.8,7.6,319.7375
198,22.2,29.8,17,65,0,6.9,4.8,7.6,332.7083333333333
199,22.7,29.7,18,59,0,6.9,3.1,5.4,279.59999999999997
200,23,31.4,15.7,48,0,6.9,1.9,3.5,179.11666666666667
201,23.8,32.6,16.5,29,0,6.9,2.4,5.4,54.791666666666664
202,23.6,32.1,15.5,35,0,6.9,2,5.4,93.375
203,24.6,31.8,19,54,0,6.9,2.8,5.4,132.20833333333334
204,24.3,31.6,19.2,60,0,6.3,2.4,5.4,127.70833333333333
205,24.7,31.6,20.2,63,0,6.3,2.2,5.4,109.33333333333333
206,23.4,30.1,19.2,65,0,6.3,4.3,7.6,56.458333333333336
207,23,30.1,19.1,65,0,6.3,3.5,3.5,135.83333333333334
208,23.9,30.3,19.2,63,0,6.9,2.2,3.5,122.5
209,23.4,30.8,19.7,64,0.25,6.3,4.4,5.4,69.66666666666667
210,24.2,32,19.3,49,0,6.9,4.4,5.4,79.83333333333333
211,24.5,32,17.6,50,0,6.9,3.1,5.4,62.708333333333336
212,23.8,31.1,19.9,71,0,6.9,5,7.6,21.208333333333332
213,24.9,32,19.3,64,4.06,6.9,3.9,5.4,1.9166666666666667
214,23.8,32,20.2,67,0,6.9,5.2,7.6,1.8333333333333333
215,23.9,30.6,19.9,67,0.51,6.9,4.6,5.4,105.83333333333333
216,24.6,31.6,18.6,61,0.76,6.9,4.1,7.6,117.58333333333333
217,24.2,31.6,18.2,54,0,6.8,5.4,7.6,122.70833333333333
218,24.9,31.8,16.6,35,0,6.9,3.5,5.4,111.95833333333333
219,25.3,32.8,19,31,0,6.9,4.1,7.6,59.208333333333336
220,25.6,33.1,17.1,31,0,6.9,3.1,5.4,77.20833333333333
221,27.1,35.4,18.7,31,0,6.9,3.5,5.4,98.70833333333333
222,28.2,35.9,20.8,33,0,7.7,0.9,3.5,123.70833333333333
223,27.9,35.9,22.4,42,0,6.9,1.1,5.4,64.79166666666667
224,27.6,35.3,20.5,37,0,6.9,2.4,5.4,52.333333333333336
225,27.3,35.3,20.3,38,0,6.9,2.6,7.6,52.041666666666664
226,26.8,34.6,19.4,33,0,6.9,2.2,5.4,128.33333333333334
227,28.6,36,23.5,33,0,6.9,1.3,3.5,0.0
228,28.3,35.8,21.9,49,0,6.9,2.8,3.5,23.208333333333332
229,29.2,35.8,23.4,43,0,6.9,3.3,7.6,15.166666666666666
230,28.9,36,23.3,40,0,6.9,3.3,5.4,21.25
